COUNTY,Date,Cases (Total),Cases (Confirmed Only),Cases (Probable Only),Total tests (new people),Total tests (susceptible test encounters),Total PCR tests (susceptible test encounters),Total Ag tests (susceptible test encounters),Total tests (specimens),Total PCR tests (specimens),Total Ag tests (specimens),Total Recovered,New Hospital Admission,Active Hospitalized Cases,Total Deaths,Total Active Cases,Cases Age 0-9,Cases Age 10-19,Cases Age 20-29,Cases Age 30-39,Cases Age 40-49,Cases Age 50-59,Cases Age 60-69,Cases Age 70-79,Cases Age 80+
Cass,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cavalier,2020-03-10,0,0,0,1,1,1,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dickey,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divide,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dunn,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddy,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmons,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foster,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Valley,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grand Forks,2020-03-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
